UserID,recommendation_1,recommendation_2,recommendation_3,recommendation_4
923352,2126,1507,1552,2769
924438,3739,1610,739,3790
925567,3010,3273,545,2981
932306,898653,174030,1019160,273429
937530,2103,2339,2677,3776
945293,2127,1833,837,3102
946095,1289,3642,2540,3643
947473,1241,836,2622,3327
953031,166,3598,990,1211
959508,688,4127,1432,3764
974912,3336,1842,2111,2839
979328,586,2513,1681,1668
982858,2660,4103,160,3006
984651,34,631,2058,1180
991759,774,2359,3881,1441
1004838,506,1434,1428,1429
1018626,933,2074,1897,2318
1022172,2355,3407,2386,198
1022450,535580,223110,457789,396319
1038883,1069,2523,4078,1155
1043608,622,3542,1770,3429
1045653,3059,1602,3058,3734
1046030,3982,2693,2865,2876
1047966,1903,2221,481,181
1053925,2980,1980,3261,148
1055318,1054,817,2119,2954
1057232,1601,1207,703,73
1060607,4110,4040,488,203
1063320,1665,2104,1274,2969
1063782,515,2745,2025,4153
1069475,342297,1019160,137014,806565
1076094,3969,43,1369,94
1081603,1665,2104,449,2711
1084927,2151,193,1349,1741
1087050,373544,523376,212537,709250
1097401,4283,4246,673,2947
1097484,2720,690,1054,3016
1108135,4163,1902,2928,772
1109691,2039,1541,1662,1637
1111605,958,1623,2417,882
1116070,2256,2033,1958,1948
1119722,3937,3202,461,1959
1120489,0,0,0,0
1122099,1678,2707,1533,1985
1129337,1258,3865,2108,2010
1133653,3748,2954,2454,3314
1134026,1926,2799,2780,2704
1139421,3879,289,60,3323
1139821,958,391,3668,2682
1143185,3982,2876,2693,724
1158058,1805,923,3192,3068
1158957,1721,2234,1807,1374
1160915,983,3954,3204,1064
1167308,1399,3295,196,241
1170699,3669,3243,3011,4042
1170722,2704,1437,1445,3025
1179202,67025,600833,403850,624004
1201803,4187,2172,2177,2390
1206185,2583,2151,1349,193
1209807,321,3184,635,2029
1213384,3178,1776,3035,285
1222773,1527,726,611,674
1230599,804,2409,534,3721
1236563,4187,2172,2177,2390
1242215,1780,4237,92,2046
1242563,730,2596,2389,3351
1249937,315,829,3007,1694
1255798,2119,817,1586,1054
1256658,4078,1069,2523,4168
1261435,1563,2710,3814,1906
1263499,2571,3634,3551,3506
1264847,3285,1758,1325,49
1281901,2520,1261,316,1620
1282678,2350,1699,3871,1791
1283830,2234,3611,3583,3253
1299092,1296,3353,1792,3769
1300440,3314,1192,3587,1053
1303642,2417,1623,882,234
1303999,1789,137,2040,3373
1307706,4228,421,3957,2832
1319489,2169,2102,3483,2793
1319732,2946,2319,1770,2364
1322625,530,418,2782,856
1323451,4202,2166,2526,1545
1324035,2494,3917,3365,3128
1326920,2622,1241,836,3327
1341793,663,227,1897,3331
1342632,2084,2012,3754,1549
1343341,4245,2961,2307,1426
1355043,1054,2119,817,774
1358301,1337,2850,1997,3003
1358715,1054,2119,817,2954
1364738,3151,2685,4198,3688
1366659,1054,2952,4088,1099
1367944,4236,2123,575,1455
1373611,2245,2149,3359,1930
1383136,2315,1257,2545,1549
1386171,690,3149,3081,4089
1389133,1099,4088,2952,1249
1400337,2650,282,3682,3591
1401559,223110,336213,608468,137014
1404139,804,2891,1987,1732
1408033,1337,3003,2999,4245
1417891,3862,2816,1111,1674
1438650,1891,1794,1790,1414
1439575,910,1658,397,3996
1451904,655858,581881,815547,108822
1454754,1878,1970,357,3938
1458384,2125,3956,240,4215
1458917,1053,1192,3587,2566
1466313,1620,316,2040,3373
1471500,2221,2674,957,1538
